,Km2,Poblacion,Hab/km2 urb.,PIB (USD billones),Salario minimo (USD),Sistema vial (km),Inters. Semaforicas,Vias con prioridad TC (km) - Acera,Vias con prioridad TC (km) - Centro de la via,Vias con prioridad TC (km) - BRT,Prioridad TC sobre extension de las vias (%),Ciclocarriles (km),Ciclovias (km),Otras clases de infraestructura/prioridad (km),Prioridad Ciclistas sobre extension de las vias (%),Taxis coletivos,Jeeps,Combi/Vans,Microbus,Bus estandar,Articulado,Bi-articulado,Tren1,Metro1,Tranvia1,Barcos,Clase de organizacion,Instrumento legal,Tarifa minima (US$ ) - Omnibus,Tarifa minima (US$ ) - Microbus,Tarifa minima (US$ ) - Tren,Tarifa minima (US$ ) - Metro,Tarifa minima (US$ ) - Tranvia,Recursos Humanos - Neumaticos,Recursos Humanos - Ferrocarriles,Asientos,Asientos/mil hab,Flota Automovil,Flota Motocicleta,Flota Taxis uso individual,Autos/mil hab,Motos/mil hab,Millones de viajes/dia - T individual,Millones de viajes/dia - T colectivo,Millones de viajes/dia - A pie,Millones de viajes/dia - Total,Viaje/hab./dia - T individual,Viaje/hab./dia - T colectivo,Viaje/hab./dia - A pie/bici,Viaje/hab./dia - Total,Operaciones especiales (km) - Vias exclusivas TC pico,Operaciones especiales (km) - Vias reversibles TC pico,Operaciones especiales (km) - Vias reversibles Auto pico,Operaciones especiales (km) - Ciclovias Fines semana,Operaciones especiales (km) - Pico y placa,Energia/hab/dia (gep),Victimas fatales (VF),VF/cien mil hab,Automovil,Motocicleta,Autobus,Auto/bus,Moto/bus,Subsidios (USD millones/ano),Recaudacion (USD millones/ano),% sub/rec,Patrimonio (USD millones) - Auto,Patrimonio (USD millones) - Moto,Patrimonio (USD millones) - Veh. uso publico,Patrimonio (USD millones) - Vias,Patrimonio (USD millones) - Prioridad TC,Patrimonio (USD millones) - Rieles,Patrimonio (USD millones) - Total,Patrimonio  USD/hab.,latitude,longitude
Caracas,260.63,3611087,13855,,,2696.8,547,,,5.2,0.1928211213289825,14,12,,0.9641056066449124,47,5099,273,10964,1328,50,,86,585,,,Empresa Privada/Publica,Permisos,0.9523809523809524,1.1904761904761905,0.6349206349206349,0.6349206349206349,,42276,9000,603172,167.03336142275165,1331650,237670,13890,368.76707761402594,65.81674714566556,2.1629730059589,4.282466973690897,1.0776515685285,7.523091548178297,0.45630692676025253,1.3151737894132427,0.2984285807925702,2.069909296966065,,,16.6,17.9,,555.1362126405984,273,7.560050477875499,0.00131225842076201,0.0003749309773605743,0.9523809523809524,0.0013778713418001105,0.000393677526228603,711.1,604.8502787780494,117.56628457485411,9107.092583793485,184.82746797349535,395,2309.200258355139,52,5088,17136.120310122118,4745.418847599662,10.461517,-66.894522
Panama,287,1771384,6172.06968641115,46.21,496.0,2050.2200000000003,180,3.5,,,0.1707133868560447,0,7.6,0,0.3706919257445542,,,,1753,1236,,,,60,,,Empresa publica,,0.25,,,0.35,,8759,1800,200540,113.21091304877994,414963,15430,44399,234.25920071537286,8.710703043495933,1.029234,0.659884,0.183281,1.8723990000000001,0.5790065846818082,0.5740375886877155,0.10549491245263591,1.2585390858221595,,,30,,,751.759866482852,58,3.274275933394453,0.5348314606741573,0.20944000000000002,0.25,2.1393258426966293,0.8377600000000001,2.4,53.41579,4.49305345853726,5818.1132304,35.489,1005,1973.1185551985689,7,1096,9934.720785598569,5608.4512367722455,8.998658,-79.511511
Rio de Janeiro,900,12156624,13507.36,153.387831268,272.600625024,15371.208791208792,3169,45,,91,0.8847710147414175,,,,2.433120290538898,,,,1525.9291039895347,14877.808763897963,552.2621321124915,,663,296,,24,Empresa privada,Concesion,1.1295606009262398,1.1295606009262398,1.2,1.32,,66298.07089601042,5295,1536724.590843688,126.410473075723,2350522.6930062356,412804.14409728895,36637,193.35324453616693,33.95713679203116,4.822007543499203,10.535286623474565,6.718816198051024,22.076110365024793,0.3477796565215611,0.8703890863215288,0.5978050312100348,1.8159737740531248,0,0,33.4,11,,492.1631361172011,952,7.831121535057759,1.1704356338717574,0.3344101811062164,1.1295606009262398,1.0361866666666668,0.29605333333333334,0,3509.7719499820178,0,34360.43085003975,1157.3250713311545,2770,17322.93604864032,1000,12800,69410.69197001123,5709.701309344702,-22.939439,-43.247596
Guadalajara,692.524,4515531,6520.396405034338,73.8223134328,225.970149254,10439,1823,,,16.1,0.1532713861480985,,72,,0.6897212376664431,,,,,5247,41,,48,,,,Org. Publicos /Asoc. Civiles/Empresas,"Ley de Movilidad, Reglam. y Normas",0.7462686567164178,,0.5223880597014925,,,10658,96,362015,80.1710806547447,1854252,159233,12747,401.93466002878193,35.26340534479777,3.3854267886245073,3.1557797047124545,3.8461891385849025,10.387395631921864,0.6924192462166019,0.6988723374310695,0.9011067260797704,2.292398309727442,,,,65,,359.07149491832314,244,5.289036066673936,0.6174918092464506,0.2835522388059702,0.7462686567164178,0.827439024390244,0.3799600000000001,0,714.6754502392763,0,22703.959645253726,299.4362568235205,1719,9552.756378832544,161,680,35116.15228090979,7776.749241874276,20.672172,-103.348805
Cali,151.365,2784664,18397.01384071615,13.968371467,257.47556908,2341,466,,,36.3,1.627509611277232,,25.5,,1.0892780862879112,,,,305.916,519.234,535.004,,,,,,Empresa publica,,0.6687677118948697,,,,,5134.700000000001,0,152207.17357142858,54.65908043894293,387106,266658,19717,129.33807064402077,95.75948839788211,1.971329,0.8711,1.421079,4.263508,0.6012667955631272,0.33365246220010747,0.596148045150151,1.5310673029133857,0,0,0,74,,201.93646618236957,476,15.90389237742476,0.6821290173665971,0.2594872906786583,0.6687677118948697,1.0199789930555556,0.3880081021606642,0,164.7392290780201,0,5991.5464333781965,501.4480250453508,453,1803.2593984962405,381,0,9130.253856919788,3278.7632033594678,3.424535,-76.52498
Porto Alegre,433.98,4161237,9588.545555094704,55.3358564063,272.600625024,9903.07,1899,44,,11,0.5553833306237359,3,22,,0.2524469684653345,,,,,4562,332,,100,,,,Empresa privada e empresa publica,Concesion,1.1107345909108024,1.1107345909108024,0.64,,,20785,1156,445395.802120141,107.03447126903393,1061526,232034,5994,255.09866417125482,55.76082304372474,2.1253694072161604,2.130763896666666,1.580867,5.837000303882826,0.41451285157743245,0.5120505985760162,0.4761445195879591,1.4027079697414078,0,0,0,20,,250.03152036471562,174,4.181448929729309,1.0970066644075456,0.313430475545013,1.1107345909108024,0.9876406779661018,0.28218305084745765,31.7,707.299060645481,4.4818382723526575,15517.608414096916,650.5234248277419,774,7918.512886813951,198,1352,26410.64472573861,6346.825409304639,-30.081468,-51.178523
Curitiba,424.99,3414115,8033.400785900844,49.0625486141,272.600625024,8617,1313,2.5,,81.4,0.9690147383079958,,,,2.1004990135778114,,,,341.63262256700074,1755.7846299201008,546.6121961072013,304.3636091960552,,,,,Empresa privada,Concesion,1.0166045408336157,1.0166045408336157,,,,11756.303217790486,0,297661.39829151356,87.18552195562059,1215560.640933954,215353.56527299646,4402,356.03974703076904,63.077419850531236,2.2529627061740145,1.7047863933333331,2.109621903142805,6.0673710026501535,0.5585465179974121,0.4993347890546549,0.7192618186628409,1.777143125714908,0,0,0,1,,295.675593960033,276,8.084086212678836,1.0626906133514062,0.30362588952897324,1.0166045408336157,1.0453333333333332,0.2986666666666667,0,529.6525851402876,0,17769.318914093263,603.7586682566103,692,5464.826649501507,819,0,25348.904231851382,7424.736493015433,-25.474011,-49.27917
Montevideo,579,1807565,3121.873920552677,25.6002288867,371.630029034,6846.294452999996,641,59,,6,0.9494187030111958,8.009,9.779,15.011,0.4820125722979917,,,,,1528,,,13,,,,Empresa privada/cooperativa,Permision,0.9193972072445735,,1.0783907092492742,,,6112,0,123280,68.20224998824385,441000,185012,2975,235.02338775821264,102.35427218384955,1.4540610018188567,0.9984366733333333,0.289582480664338,2.7420801558165278,0.7433888819341735,0.5523655709937586,0.2212477881071222,1.5170022410350543,,,,,,507.60632895870094,103,5.489208376212223,1.2128550594720438,0.4851420237888175,0.9193972072445735,1.3191850594227508,0.5276740237691002,88.9,284.6215198562146,31.23446183721828,10955.674800000003,296.01919999999996,284,1474.252285449306,178,600,13787.946285449309,7627.911740628585,-34.83205,-56.199387
Manaos,1012.6599999999738,2360491,2330.9807832836896,25.1769172797,272.600625024,4855.169596999997,676,,,,0,,,,0.12357961715091048,,,,16,2087,218,,,,,,Empresa privada,Concesion,1.035430550849053,1.035430550849053,,,,12100,0,201612.2399932114,85.41114539018001,268970.2562825355,133318.958887359,4047,113.94674086134431,56.47933370106431,0.6852033274800001,1.85088459801,1.253420721,3.78950864649,0.27258000000000004,0.78411,0.5487,1.60539,0,0,0,1.3,,260.85855321059006,326,13.810685997108228,1.2073346135020144,0.34495274671486126,1.035430550849053,1.1660218181818183,0.3331490909090909,0,592.5472985701969,0,4185.92214999324,373.7689551094827,395,3267.35370758173,0,0,8222.044812684453,3483.192612335507,-3.059738,-59.991832
Quito,372.39,2239191,4347.984639759392,6.441,354.0,4170.48,600,34.5,34.1,,1.6544858145824943,53.71,119.33,,4.14916268630949,,,,,2531,348,,,,,,Empresa privada/cooperativa,Permision,0.25,,,,,11620,0,283470,126.59482822144247,360102,26651,13136,160.81790253712165,16.45991158301969,1.0229298,2.230584,0.667957,3.9214708,0.4545971290524123,0.9961562010565423,0.300535773857612,1.7512891039665666,0,0,16.4,59.665,Autos,435.81201037427024,148,6.609529959704197,0.4181600955794504,0.36687631027253675,0.25,1.6726403823178015,1.467505241090147,22,172.87026,12.726307000405969,6676.29108,118.73020500000001,677,2702.2096644695434,239.5,0,10413.730949469544,4650.66666910931,-0.163549,-78.449962
Buenos Aires,3883,15769937,4061.2768239276334,75.6613555564,514.55970062,44993.676999999996,6096,14.96,76,,0.20225064068446774,53,87,0,0.31115483182225806,,,1711,,18498,52,,1757,637,17,,Empresa privada,Licencia,0.35083615951350716,,0.26897438896035547,0.6431996257747632,0.2338907730090048,104770,16717,1589648,100.80242606808449,4000221.619177451,940187.2022334783,91591.47972414686,252.56461170926082,59.6189539717594,16.457112808123348,12.499173510476242,5.420341820384979,34.376628138984564,0.986707928057101,0.7925949730392773,0.400580643216592,2.1798835443129705,14.96,0,3.5,140,,622.69114581655,548.9901519224479,3.466195069987455,1.0186350611794424,0.3099647979385242,0.35083615951350716,2.9034494693818043,0.883502995724107,3376.1000000000004,1407.6491311173625,239.83959676941106,58480.61099443026,1979.110003532056,4311,31995.594470009946,409.92,37526,134702.23546797226,8541.709945828246,-34.609423,-58.440881
Santiago de Chile,662,5842259,8825,107.402489721,393.199765059,15864,2660,75.15,,34.55,0.6933938477054967,,255,59,1.9793242561775088,13302,,,1626,5080,1433,,39,1093,,,Empresa privada,Concesion,1.0115512628075443,0.9789205769105267,1.0604972916530706,0.9626052339620179,,59269,3887,1250275,214.00540441633964,1649479,83491,27720,252.45440228229643,14.290876183339355,5.986942484036879,5.47995,2.2592518821051653,13.726144366142044,0.1277909917883801,0.40697789836684417,0.5145911679206905,1.0493600580759148,32.9,,74,59,,357.044829628176,431,6.596497887131013,0.600603015075377,0.36400182731841024,1.0115512628075443,0.5937445161290323,0.35984516129032257,653.6,1578.0341010246036,41.41862330957381,23682.39770279971,107.61255955100175,1931,12924.66448610513,495.8,6800,45941.47474845585,7863.649103618283,-33.464454,-70.660071
Rosario,149.94212149748913,1320718,8808.185363857989,29.2369797897,514.018691589,2506.9390000000003,801,10,,,0.3988928330525792,,62,41,4.108596180441566,,,,,766,4,,,,,,Publica/mixta/privada,Concesion/Permision,0.5841121495327103,,,,,3080,0,50390,38.1534892384294,351134,175557,4395,264.57588320305496,132.92542389821296,0.8824189150492384,0.5547167487306148,0.38333914331598423,1.8204748070958376,0.5499771077744908,0.420011500358604,0.4084092081273313,1.378397816260426,,,,28,,128.21990277171696,73,5.53,0.9667482476635515,0.2506384345794393,0.5841121495327103,1.6550730000000002,0.42909300000000006,59,134.17997786594077,43.97079276533113,5957.3821051401865,266.6169392523364,213,2679.6020241558485,20,0,9136.60106854837,6917.904555361833,-32.956258,-60.645293
Barranquilla,200,2004617,15851.787126364068,7.87800214006,257.47556908,1510.7519,300,,,13.4,0.8869755517103768,,,,0,961,,,23,1201,25,,,,,,Empresa privada,Permision,0.710565693888299,0.710565693888299,,,,6895,0,172616.45928571429,86.10944598679663,102782,100658,16472,50.75476366013834,50.21308309766903,0.472552,0.984788,0.662961,2.120301,0.16809994128554231,0.5588917982836622,0.3399492272089881,1.0669409667781926,0,0,0,5.7,Autos/taxis,119.74525281310433,149,7.357766715339857,0.6763756412507073,0.25729866075300123,0.710565693888299,0.9518833333333336,0.36210397288536783,0,215.66181908997433,0,1590.8384925975774,189.2864842045426,400,1122.8880461064555,134,0,3437.0130229085753,1714.5484762967565,10.985342,-74.804985
Ciudad de Mexico,2608.574425,20392950,7817.660789954269,192.620223881,225.970149254,32548.29,3076,104.12,153.1,155.4,1.2676549213491708,,103,,0.31645287663345756,,,73583,35172,8863,348,41,43,2136,,,Autonomo/empresas publicas y privadas,Concesion,0.3731343283582089,0.29850746268656714,0.29850746268656714,0.3731343283582089,,289731,15000,3586222,175.8559698327118,4190620,172162,247551,199.4050234732558,8.442231261293731,9.10319,25.246926,8.766764,43.11688,0.422913997239242,1.2380222576919966,0.45336697240958274,2.1143032273408213,,,33.48,48,Autos/taxis,786.3813588742006,871,4.144536499258004,0.6174918092464506,0.2835522388059702,0.3731343283582089,1.654878048780488,0.7599200000000002,344.1,2390.6246714925373,14.393727468108503,51311.07711820895,323.7491276761158,8275,22542.48434389795,2527.74,19280,104260.05058978302,5112.553632004346,19.380156,-99.131288
Medellin,172.653,3383258,19595.709312899286,18.1572038822,257.47556908,1802.718,618,,,12.5,0.6933974143487778,,57.21,1.2,3.2401074377689687,,,,574.18,2827.344,24.391,,,165,,,Empresa privada,,0.7565434740810714,,,0.7314646848850137,,13129.480000000001,1329,437187.4321428572,129.2208374717084,287410,301039,25949,80.8568388607966,88.97902554283475,1.862952,2.263899,1.485946,5.6127970000000005,0.5397460081377181,0.6691476086068517,0.45009810070647877,1.6589917174510487,0,,,33.43,Autos/taxis/motos,339.1077533843973,455,12.800480735417159,0.6842112535029031,0.2602793898267772,0.7565434740810714,0.9043911909146716,0.3440375850745698,0,491.97897427752184,0,4671.917148040093,566.1011933323858,618,1628.3129414395016,125,2567,10176.331282811982,3007.8496179753306,6.233849,-75.592281
Brasilia,251.01,2852372,11363.579140273296,87.5235959613,272.600625024,4982.18,1023,54.9,,35,1.8044309920556865,,,,8.831475378248076,,,676,412,2322,58,,,128,,,Empresa privada,Concesion,0.7530404006174931,0.7530404006174931,,1.13,,13872,1063,215080.40222046245,75.404050460621,1083889.1958745779,203782.79086082216,6505,379.99573543513185,71.44327277817276,1.8390306423314942,1.3850344943505464,0.866729199082055,4.0907943357640955,0.644737307171538,0.4855728826220936,0.3376251216266692,1.4679353114203009,1,0,0,38.5,,400.2269652148688,540,18.931612005727164,1.1711736134643624,0.33462103241838925,0.7530404006174931,1.55526,0.44436000000000003,114.63768165084353,305.83638205628165,37.483336966021035,15844.518274495482,571.3191990472841,450,6291.812137600608,459.8,3400,27017.449611143373,9471.923581897232,-15.775775,-47.892073
San Jose,251.81,1349241,5358.170843095985,17.698504019,515.753346187,5075,425,,,,0,5,,,0.09852216748768473,,,,,1860,,,,16,,,Empresa privada,Concesion/Permision,0.25026880723740313,,0.4449223239776056,,,7440,75,150400,111.4700783625757,451834,103043,7405,298.4800331355287,76.37108566964686,1.36448,1.116974,0.525,3.0064539999999997,1.004250537895009,0.8278535858308486,0.39615161412972183,2.2282557378555796,0,0,0,0,,477.6184788918892,53,3.501162319830517,0.804697638203997,0.2235271217233325,0.25026880723740313,3.2153333333333336,0.8931481481481482,0,87.26078176560007,0,7748.071076341255,210.12810055244523,277,3295.1281673346357,0,200,11730.327344228335,8694.019336966734,9.932563,-84.098584
Bello Horizonte,603,5609654,9302.908789386402,68.7661049586,272.600625024,14463,1405,21.5,,24,0.3145958653114845,,,,0.4867593168775497,,,,696.6939393939393,6402.731515151515,438.57454545454544,,100,,,,Empresa privada,Concesion,1.0730825708799279,1.0730825708799279,,0.34,,29455.30606060606,764,641504.3636363636,114.35720699286688,1915562.9183047777,463584.38108544657,8918,341.47612638939546,82.64045894549764,4.318678055022951,3.2753302151274384,5.038542040920242,12.63255031107063,0.745631513374518,0.5838738387657132,0.9224250362706461,2.2519303884108774,4,0,0,0.5,,383.107910854585,524,9.341039572137603,1.0685944500922475,0.3053127000263564,1.0730825708799279,0.995817543859649,0.284519298245614,68.893,1079.6043628555321,6.381319154526143,28002.098166995685,1299.6909904598197,1145,9172.30913679242,283,1124,41026.098294247924,7313.481062156048,-19.897802,-43.953453
Recife,841.2399999999654,3887261,4620.870381817507,35.9116814679,272.600625024,8884,868,,,12.3,0.135074290859973,,,,0.14858171994597028,,,,56,3467,328,,,177,,,Empresa privada,Concesion,0.8095184306638051,0.8095184306638051,,,,15180,1532,379940.54527076357,97.73991128220193,577913.4186452745,221485.84351993163,4918,148.66854030261268,56.97735333951891,1.7092244992888832,2.6064498460523047,2.7117459939587665,7.027420339299955,0.4037820743484534,0.6705106361657488,0.7335149821773754,1.8078076926915776,0,0,0,35,,292.2577106601137,448,11.5248242914484,1.0412892051658573,0.2975112014759592,0.8095184306638051,1.2863069767441861,0.36751627906976747,201.971,634.5546612605058,31.828778879158556,8448.058858463593,620.9509359725181,617,5634.15573333775,123,4400,19843.16552777386,5104.665091377672,-8.074301,-34.897779
Pereira,59.4,618074,10405.286195286195,2.43783218946,257.47556908,997.9200000000001,218,,,30,3.006253006253006,0,1.5,0,0.15031265031265031,45,,,,532,86,,,,,,Empresa publica,,0.7523636758817284,,,,,3687,0,35206.97142857143,56.96238869224628,76780,135039,4187,109.60335519309776,218.48354727751047,0.178252,0.290667,0.176168,0.645087,0.2535489277982895,0.4708578584441345,0.3192983364451506,1.0437051226875746,,,,11.9,,108.15783785251818,105,14.988737034742465,0.6925434490022822,0.26344902310800844,0.7523636758817284,0.9204902777777778,0.35016180545832554,0,67.79306069902944,0,1248.0769584444463,253.93965249157773,108,425.4913390810125,300.7,0,2336.2079500170366,3779.8191640758814,4.804087,-75.716854
Monteria,51.1,433586,8485.04892367906,1.55381438127,257.525083612,714.5,39,,,,0,,19,,2.6592022393282013,16,,,151,119,,,,,,,Empresa privada,Permision,0.6270903010033445,0.5434782608695652,,,,929,0,17203.42782612653,39.67708326866303,19638,114318,1909,29.409650462754964,263.6570368969478,0.27257211936340103,0.09772948797406883,0.098497,0.46879860733746986,0.3936085107010249,0.3601811127990038,0.3274228864460256,1.0812125099460543,,,,,,65.86745464056365,103,15.42516548357145,0.713862295615013,0.27155888151762125,0.6270903010033445,1.1383724074074073,0.4330458963934333,0,11.690926594454211,0,304.0113461538461,215.01533528428092,41,303.49103375178026,0,0,863.5177151899073,1991.571949255528,8.746635,-75.879911
Florianopolis,115,962430,8368.95652173913,10.7473418281,272.600625024,3816,154,,,,0,,,,1.4937106918238994,,,,,970,77,,,,,,Empresa privada,Concesion,1.035430550849053,1.035430550849053,,,,4188,0,89785.46397155042,93.29038368665817,313091.363797296,96238.0719107955,888,325.3133877760419,99.99487953492253,0.5486751108394832,0.46484038000795347,0.5490302133868917,1.5625457042343283,0.5176683903939436,0.4829861704310479,0.6228876232656212,1.6235421840906126,0,0,0,5,,220.42026188108966,66,6.857641594713382,1.113980195037464,0.31828005572498974,1.035430550849053,1.0758618181818183,0.307389090909091,0,149.2060785258407,0,4576.834840825377,269.8101146307403,160,2420.074097075287,0,0,7426.719052531404,7716.632952559047,-27.61002,-48.502596
San Pablo,2209,20935204,9477.231326392033,372.181156967,272.600625024,38128.550793999915,5905,401,118,45,1.4792064955396984,,,,0.6976399429318436,,,,7061.31367781155,14166.849848024309,2149.823708206687,347.01276595744685,1356,984,,,Empresa privada/cooperativas,Concesion y permision,1.1295606009262398,1.1295606009262398,1.1295606009262398,1.1295606009262398,,88185.69908814588,257,2537604.7422492397,121.21232457296523,6290841.7171059325,1187565.2588763617,30289,300.49106362211387,56.725755281694966,14.469204505628065,13.957219982354985,14.4,42.82642448798305,0.6878366219884936,0.66873004915548,0.6878366219884936,2.044403293132467,0,12.4,25.5,120.8,Autos,439,1225,5.85138793011045,1.0556798072216576,0.30162280206333075,1.1295606009262398,0.9345933333333334,0.2670266666666667,1216.1,4073.981744949284,29.85040376058776,71790.77585894187,3329.421633944572,3732,31850.356735669568,1842,16208,128752.55422855601,6150.050137011132,-23.571441,-46.633783
Bogota,469.1208,9069621,19333.231440601226,55.6874514098,257.47556908,8911.427010000027,1326,,,109.3,1.2680348486633641,13,392,,4.544726669988163,,,,8408,3880,1454,312,,,,,Empresa privada,Concesion,0.6269697299014404,0.61,,,,200105,0,780807.36,86.09040664433498,1770895,667926,58339,190.7012806603329,73.64431214931693,4.174317,6.33199,3.077721,13.584028,0.3737548680369334,0.6981537596774992,0.42584171929565745,1.49775034701009,0,0,0,121,Autos/taxis,258.67888802040113,640,6.8919286362326995,0.6794339763720653,0.2584620757000626,0.6269697299014404,1.083679074074074,0.41224011841958114,0,822.2333705283215,0,27409.54576043069,1256.028971853239,3219,6243.662060282864,1129,0,39257.23679256679,4328.431892861542,4.64144,-74.106443
Leon,250.2483034,1493064,5966.330159743253,45.9279850746,214.152985075,2665,572,,,15,0.5628517823639775,,101,,3.7898686679174483,,,,,1566,103,,,,,,Empresa privada,Concesion,0.5970149253731343,,,,,6676,0,110440,73.96869792587592,427166,31365,4200,255.69508567843903,21.00713700149491,0.9277496000000001,0.993708,0.88,2.8014576,0.5209084138389246,0.6655495008921252,0.5893920153456248,1.7758499300766748,,,,,,178.1695460340773,ND,ND,0.6174918092464506,0.2835522388059702,0.5970149253731343,1.034298780487805,0.4749500000000001,0,183.9101373134328,0,5230.3352650149245,58.98160679802379,565,1648.5330313669635,150,0,7652.849903179912,5125.600713150884,21.12634,-101.661214
Santa Cruz de la Sierra,422.67470000000003,1662446,3933.157106398845,3.87,238.84057971,4187,136,12.69,,,0.3033197993790303,11,0,0,0.2627179364700263,7026,,4399,3765,10,,,,,,,Cooperativas y sindicatos,Autorizacion temporal,0.25,,,,,34327,0,141111,84.88155404746982,332058,108179,6966,189.6697181783235,65.07218881094484,0.6512812535713843,0.7787440597986719,0.46218936000000005,1.8922146733700562,0.3706902239230628,0.47791924872751135,0.2780176679422971,1.1266271405928712,0,0,0,0,,494.05840278255897,351,20.04892852471302,0.37942028985507253,0.2371376811594203,0.25,1.5176811594202901,0.9485507246376812,0,16.1971451788,0,4150.725,282.2060869565218,460,2409.77104103872,25.38,0,7328.082127995242,4408.012126706818,-17.779676,-63.181956
Salvador de Bahia,384.43686323588486,4016371,10447.413825493662,34.854906793,272.600625024,4255.826616972336,1089,52,,,1.2218542877809633,,,,0.6344243417324233,,,,549,3628,12,,,12,,,Empresa privada,Concesion,1.0542565608644903,1.0542565608644903,0.19,,,16247,152,323536.61590145563,80.5544646900039,546429.199529787,142839.4401872445,6818,136.05047928335975,35.564304240630285,1.4937110718945898,2.3776702895347808,2.2592518821051653,6.130633243534536,0.35750109954114173,0.5919946861320283,0.5769153062141421,1.5264110918873122,0,0,0,9,,426.291117193973,385,9.585767848637488,1.1693286644828498,0.33409390413795703,1.0542565608644903,1.1091500000000003,0.31690000000000007,0,737.50753602148,0,7987.8159784420395,400.4602852645893,641,6256.931614712993,104,0,15390.20787841962,3831.869087397459,-12.993266,-38.481614
Lima,798.6,9752000,12211,67.7232472325,251.593425025,13517.039845999934,1336,,7.4,26,0.2515343624592595,43.67,95.93,25.4,1.2206814648758182,2523,,51733,18453,3120,288,,,125,,,Autonomo,Autorizacion temporal,0.5031868500503187,0.3354579000335458,,0.5031868500503187,,39434.19587031615,875,1872853.058407299,192.0480986881972,1191113,36372,89172,122.14038146021329,3.729696472518458,5.501,11.345,5.416,22.262,0.42032403609515995,1.2992206726825266,0.5632690730106645,2.282813781788351,0,0,0,6,,568.6607815389954,474,4.860541427399508,0.5835725023916906,0.16673500068334018,0.5031868500503187,1.159753086419753,0.33135802469135806,0,677.3887957061388,0,19717.734947601475,61.765292988929886,3302,8989.729449173785,297,1760,34128.22968976419,3499.6133808207746,-11.694423,-76.62107
